=== ICICI PAGE STRUCTURE ===
Title: FD Interest Rates - Check Latest Fixed Deposit Rates | ICICI Bank

=== BUTTONS AND LINKS ===
Btn 131: tag=A, id=None, class=None, text=3-in-1 Trading Account
Btn 132: tag=A, id=None, class=None, text=PIS (Portfolio Investment Scheme)
Btn 133: tag=A, id=None, class=None, text=Mutual Funds
Btn 134: tag=A, id=None, class=button-cta button-cta--large button-cta--primary chvron-arrow-forward, text=View all investments
Btn 135: tag=A, id=None, class=button-btn button-btn-secondary button-btn-small, text=Invest now
Btn 136: tag=A, id=None, class=btn-link, text=Money Transfer
Btn 137: tag=BUTTON, id=None, class=back__btn, text=Back
Btn 138: tag=BUTTON, id=None, class=close, text=Close
Btn 139: tag=A, id=None, class=None, text=Send Money to India
Btn 140: tag=A, id=None, class=None, text=Send Money Abroad
Btn 141: tag=A, id=None, class=None, text=Global UPI Payments
Btn 142: tag=A, id=None, class=button-cta button-cta--large button-cta--primary chvron-arrow-forward, text=View all modes of money transfer
Btn 143: tag=A, id=None, class=button-btn button-btn-secondary button-btn-small, text=Transfer now
Btn 144: tag=A, id=None, class=btn-link, text=Loans and Cards
Btn 145: tag=BUTTON, id=None, class=back__btn, text=Back
Btn 146: tag=BUTTON, id=None, class=close, text=Close
Btn 147: tag=A, id=None, class=None, text=Home Loan
Btn 148: tag=A, id=None, class=None, text=Loan Against Property
Btn 149: tag=A, id=None, class=None, text=Commercial Property Purchase Loan
Btn 150: tag=A, id=None, class=None, text=Balance Transfer
Btn 151: tag=A, id=None, class=None, text=Overdraft Against Fixed Deposits
Btn 152: tag=A, id=None, class=None, text=Education Loan
Btn 153: tag=A, id=None, class=None, text=Personal Loan
Btn 154: tag=A, id=None, class=None, text=Credit Cards
Btn 155: tag=A, id=None, class=button-btn button-btn-secondary button-btn-small, text=Apply now
Btn 156: tag=A, id=None, class=btn-link, text=Services
Btn 157: tag=BUTTON, id=None, class=back__btn, text=Back
Btn 158: tag=BUTTON, id=None, class=close, text=Close
Btn 159: tag=A, id=None, class=None, text=Update Know Your Customer (KYC)
Btn 160: tag=A, id=None, class=None, text=Foreign Account Tax Compliance Act (FATCA)
Btn 161: tag=A, id=None, class=None, text=Update Profile (Passport, Other Services)
Btn 162: tag=A, id=None, class=None, text=Upload Additional Documents
Btn 163: tag=A, id=None, class=None, text=Frequently Asked Questions (FAQs) on Service requests
Btn 164: tag=A, id=None, class=None, text=iShop
Btn 165: tag=A, id=None, class=button-btn button-btn-secondary button-btn-small, text=Login now
Btn 166: tag=A, id=None, class=btn-link, text=NRI Edge
Btn 167: tag=BUTTON, id=None, class=back__btn, text=Back
Btn 168: tag=BUTTON, id=None, class=close, text=Close
Btn 169: tag=A, id=None, class=None, text=NRI Edge
Btn 170: tag=A, id=None, class=button-btn button-btn-secondary button-btn-small, text=Visit now
Btn 171: tag=A, id=None, class=btn-link, text=Explore NRI Banking
Btn 172: tag=BUTTON, id=None, class=back__btn, text=Back
Btn 173: tag=BUTTON, id=None, class=close, text=Close
Btn 174: tag=BUTTON, id=None, class=close, text=Close
Btn 175: tag=A, id=None, class=btn-link btn-nav-main , text=Business
Btn 176: tag=A, id=None, class=None, text=Business
Btn 177: tag=A, id=None, class=btn-link, text=Accounts
Btn 178: tag=BUTTON, id=None, class=back__btn, text=Back
Btn 179: tag=BUTTON, id=None, class=close, text=Close
Btn 180: tag=A, id=None, class=None, text=Current Account
Btn 181: tag=A, id=None, class=None, text=Roaming Current Account
Btn 182: tag=A, id=None, class=None, text=Real Estate Regulatory Authority (RERA) Account
Btn 183: tag=A, id=None, class=None, text=Escrow Account
